BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
241,build my own!,2,9,FALSE,200,21,0,184,184,93.225,,,,,,,,,,,,,,
242,build my own!,2,9,FALSE,200,21,0,183,183,90.39,,,,,,,,,,,,,,
243,build my own!,2,9,FALSE,200,21,0,182,182,90.81,,,,,,,,,,,,,,
244,build my own!,2,9,FALSE,200,21,0,184,184,91.4,,,,,,,,,,,,,,
245,build my own!,2,9,FALSE,200,21,0,183,183,93.045,,,,,,,,,,,,,,
246,build my own!,2,9,FALSE,200,21,0,181,181,92.215,,,,,,,,,,,,,,
247,build my own!,2,9,FALSE,200,21,0,179,179,88.92,,,,,,,,,,,,,,
251,build my own!,2,11,FALSE,25,21,0,59,59,38.36,,,,,,,,,,,,,,
252,build my own!,2,11,FALSE,25,21,0,63,63,38.16,,,,,,,,,,,,,,
253,build my own!,2,11,FALSE,25,21,0,68,68,34.52,,,,,,,,,,,,,,
254,build my own!,2,11,FALSE,25,21,0,62,62,32,,,,,,,,,,,,,,
255,build my own!,2,11,FALSE,25,21,0,62,62,30.92,,,,,,,,,,,,,,
256,build my own!,2,11,FALSE,25,21,0,65,65,34.44,,,,,,,,,,,,,,
248,build my own!,2,9,FALSE,200,21,0,173,173,87.515,,,,,,,,,,,,,,
257,build my own!,2,11,FALSE,25,21,0,63,63,37.96,,,,,,,,,,,,,,
259,build my own!,2,11,FALSE,25,21,0,60,60,31.24,,,,,,,,,,,,,,
258,build my own!,2,11,FALSE,25,21,0,60,60,30.52,,,,,,,,,,,,,,
260,build my own!,2,11,FALSE,25,21,0,61,61,32.92,,,,,,,,,,,,,,
261,build my own!,2,11,FALSE,50,21,0,74,74,42.62,,,,,,,,,,,,,,
262,build my own!,2,11,FALSE,50,21,0,76,76,39.28,,,,,,,,,,,,,,
249,build my own!,2,9,FALSE,200,21,0,184,184,92.54,,,,,,,,,,,,,,
263,build my own!,2,11,FALSE,50,21,0,72,72,39.38,,,,,,,,,,,,,,
